symbol,announcement_ts_utc,effective_ts_utc,announcement_title,announcement_code,announcement_url,announcement_catalog_id,announcement_catalog_name,announcement_parse_status,announcement_body_excerpt,effective_day
HK1810USDT,2026-07-16 11:30:10 UTC,2026-07-23 03:05:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17),18724cba64a048938986a98bbb257258,https://www.binance.com/en/support/announcement/18724cba64a048938986a98bbb257258,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17) This is a general Binance Exchange Notice and a Notice for the purposes of the Clearing Rules . Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, the following contract(s) will be admitted to trading on Binance RIE and admitted to Clearing and Settlement by Bi",2026-07-23
TENCENTUSDT,2026-07-16 11:30:10 UTC,2026-07-23 03:10:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17),18724cba64a048938986a98bbb257258,https://www.binance.com/en/support/announcement/18724cba64a048938986a98bbb257258,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17) This is a general Binance Exchange Notice and a Notice for the purposes of the Clearing Rules . Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, the following contract(s) will be admitted to trading on Binance RIE and admitted to Clearing and Settlement by Bi",2026-07-23
SHAZUSDT,2026-07-21 07:45:10 UTC,2026-07-21 09:00:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21),f43403ef11974998bc0f46420826577a,https://www.binance.com/en/support/announcement/f43403ef11974998bc0f46420826577a,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-21 09:00 (UTC): SHAZUSDT Perpetual Contract 2026-07-21 09:05 (UTC): SOFIUSDT Perpetua",2026-07-21
SOFIUSDT,2026-07-21 07:45:10 UTC,2026-07-21 09:05:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21),f43403ef11974998bc0f46420826577a,https://www.binance.com/en/support/announcement/f43403ef11974998bc0f46420826577a,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-21 09:00 (UTC): SHAZUSDT Perpetual Contract 2026-07-21 09:05 (UTC): SOFIUSDT Perpetua",2026-07-21
PANWUSDT,2026-07-21 07:45:10 UTC,2026-07-21 09:10:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21),f43403ef11974998bc0f46420826577a,https://www.binance.com/en/support/announcement/f43403ef11974998bc0f46420826577a,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-21 09:00 (UTC): SHAZUSDT Perpetual Contract 2026-07-21 09:05 (UTC): SOFIUSDT Perpetua",2026-07-21
PENGUSDT,2026-07-21 07:45:10 UTC,2026-07-21 09:15:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21),f43403ef11974998bc0f46420826577a,https://www.binance.com/en/support/announcement/f43403ef11974998bc0f46420826577a,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-21 09:00 (UTC): SHAZUSDT Perpetual Contract 2026-07-21 09:05 (UTC): SOFIUSDT Perpetua",2026-07-21
ENGUSDT,2026-07-21 07:45:10 UTC,2026-07-21 09:15:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21),f43403ef11974998bc0f46420826577a,https://www.binance.com/en/support/announcement/f43403ef11974998bc0f46420826577a,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-21) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-21 09:00 (UTC): SHAZUSDT Perpetual Contract 2026-07-21 09:05 (UTC): SOFIUSDT Perpetua",2026-07-21
GEVUSDT,2026-07-10 06:45:21 UTC,2026-07-10 08:30:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10),d0833e4ae9b542be90dbf3fe1c960c53,https://www.binance.com/en/support/announcement/d0833e4ae9b542be90dbf3fe1c960c53,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-10 08:30 (UTC): GEVUSDT Perpetual Contract 2026-07-10 08:35 (UTC): VRTUSDT Perpetual ",2026-07-10
VRTUSDT,2026-07-10 06:45:21 UTC,2026-07-10 08:35:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10),d0833e4ae9b542be90dbf3fe1c960c53,https://www.binance.com/en/support/announcement/d0833e4ae9b542be90dbf3fe1c960c53,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-10 08:30 (UTC): GEVUSDT Perpetual Contract 2026-07-10 08:35 (UTC): VRTUSDT Perpetual ",2026-07-10
SNOWUSDT,2026-07-10 06:45:21 UTC,2026-07-10 08:40:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10),d0833e4ae9b542be90dbf3fe1c960c53,https://www.binance.com/en/support/announcement/d0833e4ae9b542be90dbf3fe1c960c53,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-10 08:30 (UTC): GEVUSDT Perpetual Contract 2026-07-10 08:35 (UTC): VRTUSDT Perpetual ",2026-07-10
APPUSDT,2026-07-10 06:45:21 UTC,2026-07-10 08:45:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10),d0833e4ae9b542be90dbf3fe1c960c53,https://www.binance.com/en/support/announcement/d0833e4ae9b542be90dbf3fe1c960c53,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-10) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-10 08:30 (UTC): GEVUSDT Perpetual Contract 2026-07-10 08:35 (UTC): VRTUSDT Perpetual ",2026-07-10
BOTUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:00:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
WENUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:05:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
INTWUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:10:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
SNXXUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:15:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
XBIUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:20:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
BNCUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:25:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
FWDIUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:30:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
WDIUSDT,2026-07-09 10:15:09 UTC,2026-07-09 14:10:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09),84ad610bdd284699bc451b7baaa0ff7d,https://www.binance.com/en/support/announcement/84ad610bdd284699bc451b7baaa0ff7d,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-09) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-09 14:00 (UTC): BOTUSDT Perpetual Contract 2026-07-09 14:05 (UTC): WENUSDT Perpetual ",2026-07-09
ETHUSD1,2026-07-02 10:45:04 UTC,2026-07-03 09:00:00 UTC,Binance Futures Will Launch USDS-Margined ETHUSD1 Perpetual Contract (2026-07-03),23c9b8e88309409cbcd8509af0b78d10,https://www.binance.com/en/support/announcement/23c9b8e88309409cbcd8509af0b78d10,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch USDS-Margined ETHUSD1 Perpetual Contract (2026-07-03) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-03 09:00 (UTC): ETHUSD1 Perpetual Contract with up to 100x leverage More details on the aforem",2026-07-03
BTCUUSDT,2026-06-30 14:45:02 UTC,2026-07-01 09:00:00 UTC,Binance Futures Will Launch USDS-Margined BTCU and ETHU Perpetual Contracts (2026-07-01),25da4614ffff435fa28544b27fd33a39,https://www.binance.com/en/support/announcement/25da4614ffff435fa28544b27fd33a39,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch USDS-Margined BTCU and ETHU Perpetual Contracts (2026-07-01) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-01 09:00 (UTC): BTCU Perpetual Contract with up to 100x leverage 2026-07-01 10:00 (UTC)",2026-07-01
ETHUUSDT,2026-06-30 14:45:02 UTC,2026-07-01 09:00:00 UTC,Binance Futures Will Launch USDS-Margined BTCU and ETHU Perpetual Contracts (2026-07-01),25da4614ffff435fa28544b27fd33a39,https://www.binance.com/en/support/announcement/25da4614ffff435fa28544b27fd33a39,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch USDS-Margined BTCU and ETHU Perpetual Contracts (2026-07-01) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-01 09:00 (UTC): BTCU Perpetual Contract with up to 100x leverage 2026-07-01 10:00 (UTC)",2026-07-01
STRCUSDT,2026-07-02 08:15:08 UTC,2026-07-02 09:15:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02),d2acaa91c14e4cc598aaee1017efc1ac,https://www.binance.com/en/support/announcement/d2acaa91c14e4cc598aaee1017efc1ac,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-02 09:15 (UTC): STRCUSDT Perpetual Contract 2026-07-02 09:20 (UTC): CATUSDT Perpetual",2026-07-02
CATUSDT,2026-07-02 08:15:08 UTC,2026-07-02 09:20:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02),d2acaa91c14e4cc598aaee1017efc1ac,https://www.binance.com/en/support/announcement/d2acaa91c14e4cc598aaee1017efc1ac,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-02 09:15 (UTC): STRCUSDT Perpetual Contract 2026-07-02 09:20 (UTC): CATUSDT Perpetual",2026-07-02
TXNUSDT,2026-07-02 08:15:08 UTC,2026-07-02 09:25:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02),d2acaa91c14e4cc598aaee1017efc1ac,https://www.binance.com/en/support/announcement/d2acaa91c14e4cc598aaee1017efc1ac,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-02 09:15 (UTC): STRCUSDT Perpetual Contract 2026-07-02 09:20 (UTC): CATUSDT Perpetual",2026-07-02
FLEXUSDT,2026-07-02 08:15:08 UTC,2026-07-02 09:30:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02),d2acaa91c14e4cc598aaee1017efc1ac,https://www.binance.com/en/support/announcement/d2acaa91c14e4cc598aaee1017efc1ac,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-02 09:15 (UTC): STRCUSDT Perpetual Contract 2026-07-02 09:20 (UTC): CATUSDT Perpetual",2026-07-02
TERUSDT,2026-07-02 08:15:08 UTC,2026-07-02 09:35:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02),d2acaa91c14e4cc598aaee1017efc1ac,https://www.binance.com/en/support/announcement/d2acaa91c14e4cc598aaee1017efc1ac,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-02) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-02 09:15 (UTC): STRCUSDT Perpetual Contract 2026-07-02 09:20 (UTC): CATUSDT Perpetual",2026-07-02
