market,event_type,symbol,original_listing,announcement_time_utc,delist_settlement_time_utc,announcement_to_delist_hours,source_url,source_note,local_panel_symbol,in_local_panel_symbol_set,announcement_in_panel_coverage,local_panel_start_utc,local_panel_end_utc,local_panel_rows
USDS-M perpetual,futures_contract_delist_auto_settlement,DMCUSDT,DMCUSDT perpetual,2026-01-15 00:00:00,2026-01-21 09:00:00,153.0,https://www.mexc.co/news/497909,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,ZRCUSDT,ZRCUSDT perpetual,2026-01-15 00:00:00,2026-01-21 09:00:00,153.0,https://www.mexc.co/news/497909,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,TANSSIUSDT,TANSSIUSDT perpetual,2026-01-15 00:00:00,2026-01-21 09:00:00,153.0,https://www.mexc.co/news/497909,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,42USDT,42USDT perpetual,2026-01-28 00:00:00,2026-01-30 09:00:00,57.0,https://www.treeofalpha.com/preview_article?id=1769595249706,Mirror includes Binance Team date 2026-01-28.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,COMMONUSDT,COMMONUSDT perpetual,2026-01-28 00:00:00,2026-01-30 09:00:00,57.0,https://www.treeofalpha.com/preview_article?id=1769595249706,Mirror includes Binance Team date 2026-01-28.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,CUDISUSDT,CUDISUSDT perpetual,2026-01-28 00:00:00,2026-01-30 09:00:00,57.0,https://www.treeofalpha.com/preview_article?id=1769595249706,Mirror includes Binance Team date 2026-01-28.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,EPTUSDT,EPTUSDT perpetual,2026-01-28 00:00:00,2026-01-30 09:00:00,57.0,https://www.treeofalpha.com/preview_article?id=1769595249706,Mirror includes Binance Team date 2026-01-28.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,VFYUSDT,VFYUSDT perpetual,2026-03-13 14:51:08,2026-03-17 09:00:00,90.15,https://www.binance.info/en/support/announcement/detail/f6ebc17e4dbd451b873d9ef25c801237,Binance Support mirror; secondary index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,1000WHYUSDT,1000WHYUSDT perpetual,2026-03-13 14:51:08,2026-03-17 09:00:00,90.15,https://www.binance.info/en/support/announcement/detail/f6ebc17e4dbd451b873d9ef25c801237,Binance Support mirror; secondary index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,BDXNUSDT,BDXNUSDT perpetual,2026-03-13 14:51:08,2026-03-17 09:00:00,90.15,https://www.binance.info/en/support/announcement/detail/f6ebc17e4dbd451b873d9ef25c801237,Binance Support mirror; secondary index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,OLUSDT,OLUSDT perpetual,2026-04-03 14:39:07,2026-04-08 09:00:00,114.35,https://www.binance.info/en/support/announcement/detail/97b4f3a7d02a486c8d412ada2281b907,Binance Support mirror; secondary index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,HIPPOUSDT,HIPPOUSDT perpetual,2026-04-03 14:39:07,2026-04-08 09:00:00,114.35,https://www.binance.info/en/support/announcement/detail/97b4f3a7d02a486c8d412ada2281b907,Binance Support mirror; secondary index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,RLSUSDT,RLSUSDT perpetual,2026-04-03 14:39:07,2026-04-08 09:00:00,114.35,https://www.binance.info/en/support/announcement/detail/97b4f3a7d02a486c8d412ada2281b907,Binance Support mirror; secondary index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,PUFFERUSDT,PUFFERUSDT perpetual,2026-04-03 14:39:07,2026-04-08 09:00:00,114.35,https://www.binance.info/en/support/announcement/detail/97b4f3a7d02a486c8d412ada2281b907,Binance Support mirror; secondary index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,B3USDT,B3USDT perpetual,2026-04-23 15:01:00,2026-04-28 09:00:00,113.98,https://www.binance.com/en/square/post/315659328967362,Binance Square official-account mirror; PANews index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,DEGENUSDT,DEGENUSDT perpetual,2026-04-23 15:01:00,2026-04-28 09:00:00,113.98,https://www.binance.com/en/square/post/315659328967362,Binance Square official-account mirror; PANews index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,BOBUSDT,BOBUSDT perpetual,2026-04-23 15:01:00,2026-04-28 09:00:00,113.98,https://www.binance.com/en/square/post/315659328967362,Binance Square official-account mirror; PANews index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,ZKJUSDT,ZKJUSDT perpetual,2026-04-23 15:01:00,2026-04-29 09:00:00,137.98,https://www.binance.com/en/square/post/315659328967362,Binance Square official-account mirror; PANews index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,IRUSDT,IRUSDT perpetual,2026-04-23 15:01:00,2026-04-29 09:00:00,137.98,https://www.binance.com/en/square/post/315659328967362,Binance Square official-account mirror; PANews index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,DAMUSDT,DAMUSDT perpetual,2026-04-23 15:01:00,2026-04-29 09:00:00,137.98,https://www.binance.com/en/square/post/315659328967362,Binance Square official-account mirror; PANews index supplied announcement date.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,VINEUSDT,VINEUSDT perpetual,2026-04-24 00:00:00,2026-04-28 10:00:00,106.0,https://www.binance.com/en/square/post/315957928905937,Binance Square official-account mirror; author line indicates 24 Apr.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,AIUSDT,AIUSDT perpetual,2026-04-24 00:00:00,2026-04-28 10:00:00,106.0,https://www.binance.com/en/square/post/315957928905937,Binance Square official-account mirror; author line indicates 24 Apr.,,False,False,,,
spot,spot_pair_removal,AIUSDT,AI/BNB,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,ETCUSDT,ETC/BNB,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,ETCUSDT,True,True,2020-01-16 08:00:00,2026-06-22 00:00:00,14093
spot,spot_pair_removal,FLOWUSDT,FLOW/BTC,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,LPTUSDT,LPT/BNB,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,SFPUSDT,SFP/BTC,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,VETUSDT,VET/BNB,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,WCTUSDT,WCT/FDUSD,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,WIFUSDT,WIF/BRL,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,WLFIUSDT,WLFI/BRL,2024-12-28 00:00:00,2025-01-03 08:00:00,152.0,https://bitcoinworld.co.in/binance-delisting-spot-trading-pairs/,Secondary source summarizing Binance spot pair removal; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,2ZUSDT,2Z/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,AAVEUSDT,AAVE/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,AAVEUSDT,True,True,2020-10-16 04:00:00,2026-06-22 00:00:00,12450
spot,spot_pair_removal,AUSDT,A/BTC,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,APEUSDT,APE/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,API3USDT,API3/BTC,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,ARBUSDT,ARB/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,EULUSDT,EUL/BNB,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,FETUSDT,FET/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,HMSTRUSDT,HMSTR/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,LAYERUSDT,LAYER/BTC,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,LAYERUSDT,LAYER/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,MIRAUSDT,MIRA/BNB,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,OPUSDT,OP/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,ORDIUSDT,ORDI/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,PYTHUSDT,PYTH/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,TRXUSDT,TRX/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,TRXUSDT,True,True,2020-01-15 08:00:00,2026-06-22 00:00:00,14069
spot,spot_pair_removal,WCTUSDT,WCT/BNB,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,YBUSDT,YB/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,ZBTUSDT,ZBT/BNB,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,ZKCUSDT,ZKC/FDUSD,2025-01-09 00:00:00,2025-01-16 03:00:00,171.0,https://cryptorank.io/news/feed/16461-binance-delisting-spot-trading-pairs-2,Secondary source says Binance official notice was published 2025-01-09; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,AIUSDT,AI/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,APEUSDT,APE/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,AUCTIONUSDT,AUCTION/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,IDUSDT,ID/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,LDOUSDT,LDO/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,NMRUSDT,NMR/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,PNUTUSDT,PNUT/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
spot,spot_pair_removal,PYRUSDT,PYR/BTC,2025-01-16 00:00:00,2025-01-23 03:00:00,171.0,https://coinpulsehq.com/binance-delisting-spot-trading-pairs-5/,Secondary source summarizing Binance official notice; timestamp date-only.,,False,False,,,
